S19_Timestamp_CAL,S19_RealTime_CAL,S19_GSR_CAL,S19_Quat_MPL_6DOF_W_CAL,S19_Quat_MPL_6DOF_X_CAL,S19_Quat_MPL_6DOF_Y_CAL,S19_Quat_MPL_6DOF_Z_CAL,S19_Gyro_MPU_MPL_X_CAL,S19_Gyro_MPU_MPL_Y_CAL,S19_Gyro_MPU_MPL_Z_CAL,S19_Accel_MPU_MPL_X_CAL,S19_Accel_MPU_MPL_Y_CAL,S19_Accel_MPU_MPL_Z_CAL,S19_Mag_MPU_MPL_X_CAL,S19_Mag_MPU_MPL_Y_CAL,S19_Mag_MPU_MPL_Z_CAL,S19_Date,,
msecs,msecs,kOhms,no units,no units,no units,no units,deg/sec,deg/sec,deg/sec,m/(sec^2),m/(sec^2),m/(sec^2),uTesla,uTesla,uTesla,dd_MMM_yyyy_HH:MM:SS.FFF,,
1545417.633,1.47024E+12,-40.01360463,0.977206409,-0.186484203,0.101445928,-7.45E-09,14.50439453,-43.62306213,27.34375,-0.189910889,-0.349105835,0.871520996,29.27194214,9.585662842,-37.85545349,3rd_Aug_2016_10:53:42.767, ,
1545484.283,1.47024E+12,-40.01360463,0.979853511,-0.180028945,0.085994542,0.009034491,-9.787597656,-19.14796448,-19.71435547,-0.039520264,-0.134872437,1.057312012,28.97195435,6.885772705,-37.5554657,3rd_Aug_2016_10:53:42.834,1,37.834
1545550.964,1.47024E+12,-40.01360463,0.987338126,-0.144386381,0.065541625,0.004483566,66.38427734,-61.87257385,-16.41845703,-0.002655029,0.019424438,0.739807129,29.27194214,4.485870361,-39.95536804,3rd_Aug_2016_10:53:42.901,2,37.9
1545617.584,1.47024E+12,-40.01360463,0.994197667,-0.101941243,-0.029845621,-0.01697172,66.68945313,-78.59620667,-9.521484375,0.080596924,-0.017440796,0.925476074,23.27218628,3.585906982,-42.65525818,3rd_Aug_2016_10:53:42.967,3,37.967
1545684.235,1.47024E+12,-40.01360463,0.994226575,-0.101824082,-0.013359576,-0.031096879,-66.48925781,34.25779724,-46.26464844,0.273834229,0.389907837,1.164489746,17.87240601,4.185882568,-46.25511169,3rd_Aug_2016_10:53:43.034,4,38.034
1545750.885,1.47024E+12,-40.01360463,0.992109656,-0.11067389,0.003691685,-0.058789477,-17.35595703,47.62449646,-53.89404297,0.063873291,0.047622681,0.99041748,20.87228394,5.985809326,-43.85520935,3rd_Aug_2016_10:53:43.100,5,38.1
1545817.566,1.47024E+12,-40.01360463,0.990303397,-0.112974629,0.015323851,-0.079378232,3.823242188,16.43553162,-11.84082031,-0.063934326,-0.004135132,1.108581543,22.3722229,7.485748291,-44.45518494,3rd_Aug_2016_10:53:43.167,6,38.167
1545884.186,1.47024E+12,-40.01360463,0.992362261,-0.098013818,0.020753739,-0.071971059,14.07714844,-6.513687134,28.07617188,-0.015106201,0.029800415,0.887023926,22.07223511,7.785736084,-43.25523376,3rd_Aug_2016_10:53:43.234,7,38.234
1545950.836,1.47024E+12,-40.01360463,0.991867959,-0.110344619,0.012506131,-0.062173542,-58.49365234,-29.82911682,9.643554688,0.002593994,-0.020004272,1.033996582,21.47225952,8.085723877,-43.85520935,3rd_Aug_2016_10:53:43.300,8,38.3
1546017.487,1.47024E+12,-40.01360463,0.984776199,-0.155403212,0.031142741,-0.071384862,-58.37158203,47.07518005,-24.29199219,0.075836182,-0.049057007,0.851989746,22.3722229,8.085723877,-42.95524597,3rd_Aug_2016_10:53:43.367,9,38.367
1546084.167,1.47024E+12,-40.01360463,0.985087276,-0.147047237,0.031798221,-0.083481625,29.3359375,-7.612319946,-24.10888672,0.027374268,-0.014877319,1.098205566,25.07211304,10.78561401,-40.85533142,3rd_Aug_2016_10:53:43.434,10,38.434
1546150.787,1.47024E+12,-40.01360463,0.98412329,-0.140757352,0.05316427,-0.094139032,-15.95214844,70.26853943,-0.732421875,-0.138763428,-0.212509155,0.868835449,23.87216187,11.08560181,-40.55534363,3rd_Aug_2016_10:53:43.500,11,38.5
