"sep=	"
S19_Timestamp_CAL	S19_RealTime_CAL	S19_GSR_CAL	S19_Quat_MPL_6DOF_W_CAL	S19_Quat_MPL_6DOF_X_CAL	S19_Quat_MPL_6DOF_Y_CAL	S19_Quat_MPL_6DOF_Z_CAL	S19_Gyro_MPU_MPL_X_CAL	S19_Gyro_MPU_MPL_Y_CAL	S19_Gyro_MPU_MPL_Z_CAL	S19_Accel_MPU_MPL_X_CAL	S19_Accel_MPU_MPL_Y_CAL	S19_Accel_MPU_MPL_Z_CAL	S19_Mag_MPU_MPL_X_CAL	S19_Mag_MPU_MPL_Y_CAL	S19_Mag_MPU_MPL_Z_CAL	S19_Date	
msecs	msecs	kOhms	no units	no units	no units	no units	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	uTesla	uTesla	uTesla	dd_MMM_yyyy_HH:MM:SS.FFF	
1545417.63305664	1470236022767.7	-40.0136046255727	0.977206408977509	-0.186484202742577	0.101445928215981	-7.45058059692383e-09	14.50439453125	-43.6230621337891	27.34375	-0.189910888671875	-0.349105834960937	0.87152099609375	29.2719421386719	9.58566284179688	-37.8554534912109	3rd_Aug_2016_10:53:42.767
1545484.28344727	1470236022834.35	-40.0136046255727	0.979853510856628	-0.180028945207596	0.0859945416450501	0.00903449114412069	-9.78759765625	-19.1479644775391	-19.71435546875	-0.039520263671875	-0.134872436523438	1.05731201171875	28.9719543457031	6.88577270507813	-37.5554656982422	3rd_Aug_2016_10:53:42.834
1545550.96435547	1470236022901.03	-40.0136046255727	0.987338125705719	-0.144386380910873	0.0655416250228882	0.00448356568813324	66.38427734375	-61.8725738525391	-16.41845703125	-0.002655029296875	0.0194244384765625	0.73980712890625	29.2719421386719	4.48587036132813	-39.9553680419922	3rd_Aug_2016_10:53:42.901
1545617.58422852	1470236022967.65	-40.0136046255727	0.99419766664505	-0.101941242814064	-0.0298456214368343	-0.0169717203825712	66.689453125	-78.5962066650391	-9.521484375	0.080596923828125	-0.0174407958984375	0.92547607421875	23.2721862792969	3.58590698242187	-42.6552581787109	3rd_Aug_2016_10:53:42.967
1545684.23461914	1470236023034.3	-40.0136046255727	0.994226574897766	-0.101824082434177	-0.0133595764636993	-0.0310968793928623	-66.4892578125	34.2577972412109	-46.2646484375	0.273834228515625	0.389907836914062	1.16448974609375	17.8724060058594	4.18588256835938	-46.2551116943359	3rd_Aug_2016_10:53:43.034
1545750.88500977	1470236023100.95	-40.0136046255727	0.992109656333923	-0.110673889517784	0.00369168538600206	-0.0587894767522812	-17.35595703125	47.6244964599609	-53.89404296875	0.063873291015625	0.0476226806640625	0.99041748046875	20.8722839355469	5.98580932617188	-43.8552093505859	3rd_Aug_2016_10:53:43.100
1545817.56591797	1470236023167.63	-40.0136046255727	0.99030339717865	-0.112974628806114	0.0153238512575626	-0.0793782323598862	3.8232421875	16.4355316162109	-11.8408203125	-0.063934326171875	-0.0041351318359375	1.10858154296875	22.3722229003906	7.48574829101563	-44.4551849365234	3rd_Aug_2016_10:53:43.167
1545884.18579102	1470236023234.25	-40.0136046255727	0.992362260818481	-0.0980138182640076	0.0207537394016981	-0.07197105884552	14.0771484375	-6.51368713378906	28.076171875	-0.015106201171875	0.0298004150390625	0.88702392578125	22.0722351074219	7.78573608398438	-43.2552337646484	3rd_Aug_2016_10:53:43.234
1545950.83618164	1470236023300.9	-40.0136046255727	0.991867959499359	-0.110344618558884	0.0125061310827732	-0.0621735416352749	-58.49365234375	-29.8291168212891	9.6435546875	0.002593994140625	-0.0200042724609375	1.03399658203125	21.4722595214844	8.08572387695313	-43.8552093505859	3rd_Aug_2016_10:53:43.300
1546017.48657227	1470236023367.55	-40.0136046255727	0.984776198863983	-0.155403211712837	0.0311427414417267	-0.0713848620653152	-58.37158203125	47.0751800537109	-24.2919921875	0.075836181640625	-0.0490570068359375	0.85198974609375	22.3722229003906	8.08572387695313	-42.9552459716797	3rd_Aug_2016_10:53:43.367
1546084.16748047	1470236023434.23	-40.0136046255727	0.985087275505066	-0.147047236561775	0.0317982211709023	-0.0834816247224808	29.3359375	-7.61231994628906	-24.10888671875	0.027374267578125	-0.0148773193359375	1.09820556640625	25.0721130371094	10.7856140136719	-40.8553314208984	3rd_Aug_2016_10:53:43.434
1546150.78735352	1470236023500.85	-40.0136046255727	0.984123289585114	-0.140757352113724	0.0531642697751522	-0.0941390320658684	-15.9521484375	70.2685394287109	-0.732421875	-0.138763427734375	-0.212509155273437	0.86883544921875	23.8721618652344	11.0856018066406	-40.5553436279297	3rd_Aug_2016_10:53:43.500
1546217.43774414	1470236023567.51	-40.0136046255727	0.985598087310791	-0.125211670994759	0.0529814325273037	-0.100555241107941	65.04150390625	-39.8999176025391	9.46044921875	-0.085296630859375	-0.130111694335938	1.00897216796875	27.1720275878906	12.8855285644531	-37.8554534912109	3rd_Aug_2016_10:53:43.567
1546284.08813477	1470236023634.16	-40.0136046255727	0.989305436611176	-0.110047712922096	0.0365369208157063	-0.0884828194975853	-18.271484375	-118.269058227539	82.82470703125	-0.042938232421875	-0.109725952148438	0.82281494140625	25.3721008300781	11.0856018066406	-41.1553192138672	3rd_Aug_2016_10:53:43.634
1546350.76904297	1470236023700.84	-40.0136046255727	0.992544710636139	-0.105015598237515	-0.00190805457532406	-0.0618291758000851	24.27001953125	-13.3496246337891	7.50732421875	0.134307861328125	0.0835113525390625	1.13006591796875	19.0723571777344	6.88577270507813	-44.7551727294922	3rd_Aug_2016_10:53:43.700
